Title,Send/Raw/Stake/Unstake/Unjail,,,,,,
Issue/Branch,-,,,,,,
Assignee,-,,,,,,
Scenarios,Case ID,Executed On,Status (Pass/Failed/Not Tested),Actual Results,Code Release Version,Comments,Linked issue (bug)
Apps stake ,134,,,,,,
Apps unstake,135,,,,,,
Unstaked a node that's not staked,136,,,,,,
unstake a node that doesn't exist,137,,,,,,
Shouldn't stake a nonexistent app,138,,,,,,
Shouldn't stake a nonexistent node,139,,,,,,
Staking node with insufficient founds,140,,,,,,
Staking app with insufficient founds,141,,,,,,
Shouldn't stake a nonexistent node,142,,,,,,
Staking node with insufficient founds,143,,,,,,
Staking app with insufficient founds,144,,,,,,
Validator misses X blocks,145,,,,,,
unjail node from genesis,146,,,,,,
force node unstake,147,,,,,,
Apps stake ,148,,,,,,
Start with Jailed node,149,,,,,,
Apps unstake,150,,,,,,
Ujail node,151,,,,,,
Node Stake,152,,,,,,
Node Unstake,153,,,,,,
Shouldn't unstake a nonexistent app,154,,,,,,
Shouldn't unstake a nonexistent app,155,,,,,,
Unstaked a node that's not staked,156,,,,,,
unstake a node that doesn't exist,157,,,,,,
Shouldn't stake a nonexistent app,158,,,,,,
Send raw TX,159,,,,,,
Update Stake - APPs - Before Upgrade Height,160,,,,,,
Update Stake - Nodes - Before Upgrade Height,161,,,,,,
Update Stake - StakedPOKT Up - APPs,162,,,,,,
Update Stake - StakedPOKT Down - APPs,163,,,,,,
Update Stake - Address change - APPs,164,,,,,,
Update Stake - PublicK change - APPs,165,,,,,,
Update Stake - Chains change - APPs,166,,,,,,
Update Stake - Max Relays change - APPs,167,,,,,,
Update Stake - StakedPOKT Up - Nodes,168,,,,,,
Update Stake - StakedPOKT Down - Nodes,169,,,,,,
Update Stake - Address change - Nodes,170,,,,,,
Update Stake - ServiceURL change - Nodes,171,,,,,,
Update Stake - Chains change - Nodes,172,,,,,,
Update Stake - Max Relays change - Nodes,173,,,,,,
Update Stake - Tendermint's Data/State - Max Applications,174,,,,,,
Update Stake - Tendermint's Data/State - Max Validators ,175,,,,,,
Update Stake - Node can update even jailed.,176,,,,,,
Update Stake - Node can't update if not staked.,177,,,,,,
Update Stake - APP can update even jailed.,178,,,,,,
Update Stake - APP can't update if not staked.,189,,,,,,
